Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
12.677350521087646	0	14.107982	9.020195	63.0	3.0	14.107981220657276	9.020195502894904	3005	3005
15.973579168319702	1	16.4153	11.992356	73.0	4.0	16.415300546448087	11.992355752493808	3004	6009
17.515506267547607	2	16.777779	10.829259	66.0	3.0	16.77777777777778	10.82925849290582	3020	9029
20.808396339416504	3	20.895834	14.576293	73.0	3.0	20.895833333333332	14.57629294341405	3009	12038
22.316797018051147	4	20.696552	15.036198	94.0	5.0	20.69655172413793	15.036197308119627	3001	15039
25.342602252960205	5	25.533897	15.782784	70.0	4.0	25.533898305084747	15.782785195650069	3013	18052
26.956265449523926	6	27.752293	16.991177	89.0	6.0	27.75229357798165	16.99117739941524	3025	21077
28.617655992507935	7	28.280375	19.767714	147.0	6.0	28.2803738317757	19.767713879196616	3026	24103
30.246307134628296	8	29.086538	16.313698	84.0	4.0	29.08653846153846	16.313697982490215	3025	27128
31.9293851852417	9	32.77174	18.274538	99.0	4.0	32.77173913043478	18.274538750421108	3015	30143
33.59765362739563	10	38.151897	23.270065	127.0	7.0	38.151898734177216	23.27006476390488	3014	33157
35.43358755111694	11	35.541176	19.862795	96.0	4.0	35.54117647058823	19.8627958112509	3021	36178
37.420939683914185	12	42.478874	20.086334	92.0	8.0	42.478873239436616	20.086334191823603	3016	39194
39.23273730278015	13	40.4	20.044617	119.0	9.0	40.4	20.04461689997259	3030	42224
40.90562033653259	14	44.308823	21.10705	104.0	13.0	44.30882352941177	21.107050225082432	3013	45237
42.8109405040741	15	51.983334	29.30955	144.0	9.0	51.983333333333334	29.309550017395733	3119	48356
44.55048966407776	16	48.0	24.631893	127.0	7.0	48.0	24.631893121117564	3024	51380
46.30585694313049	17	57.509434	24.9351	110.0	8.0	57.509433962264154	24.935102665973126	3048	54428
48.10937690734863	18	51.166668	25.6087	117.0	5.0	51.166666666666664	25.608700778359598	3070	57498
49.84328579902649	19	60.54	29.94008	131.0	15.0	60.54	29.94008016021333	3027	60525
51.70243859291077	20	64.42553	38.759895	201.0	11.0	64.42553191489361	38.759896296136795	3028	63553
53.37384557723999	21	58.960785	25.975826	155.0	11.0	58.96078431372549	25.975826457865892	3007	66560
55.182461738586426	22	57.76923	28.959929	146.0	16.0	57.76923076923077	28.959929468023564	3004	69564
57.015931367874146	23	57.490566	26.511389	116.0	8.0	57.490566037735846	26.511387828351456	3047	72611
58.666796922683716	24	55.327274	26.074757	127.0	10.0	55.32727272727273	26.074755848559413	3043	75654
60.744797229766846	25	69.65909	45.12505	214.0	13.0	69.6590909090909	45.12505007895392	3065	78719
62.804811000823975	26	66.478264	36.835556	175.0	5.0	66.47826086956522	36.83555650539817	3058	81777
66.37400794029236	27	68.111115	38.37489	196.0	13.0	68.11111111111111	38.37488890883506	3065	84842
68.3585455417633	28	68.795456	37.374386	162.0	8.0	68.79545454545455	37.37438326973956	3027	87869
70.25776886940002	29	61.57143	30.545382	165.0	12.0	61.57142857142857	30.54538276341066	3017	90886
72.298100233078	30	69.47727	40.449455	181.0	6.0	69.47727272727273	40.449457034429585	3057	93943
74.20529174804688	31	64.395836	25.4769	127.0	15.0	64.39583333333333	25.476900962222402	3091	97034
76.2358968257904	32	70.0	34.07379	163.0	17.0	70.0	34.07379133313394	3010	100044
78.30147123336792	33	72.809525	35.624523	160.0	19.0	72.80952380952381	35.624522115583794	3058	103102
80.89976716041565	34	78.666664	48.18944	248.0	24.0	78.66666666666667	48.189440982669865	3068	106170
82.94725465774536	35	66.82222	35.19046	176.0	12.0	66.82222222222222	35.19045886404053	3007	109177
85.07763504981995	36	81.18421	33.935585	153.0	21.0	81.1842105263158	33.93558547040019	3085	112262
87.14740896224976	37	60.44	32.745785	206.0	11.0	60.44	32.74578446151504	3022	115284
88.9472188949585	38	78.71795	36.263954	174.0	27.0	78.71794871794872	36.263953083304905	3070	118354
92.12191224098206	39	76.05	35.07346	189.0	25.0	76.05	35.073458626146355	3042	121396
93.9361162185669	40	66.434784	31.60672	152.0	10.0	66.43478260869566	31.60672202438358	3056	124452
97.46175289154053	41	72.95238	29.381687	149.0	15.0	72.95238095238095	29.381685566216554	3064	127516
99.97759366035461	42	77.0	34.77547	172.0	11.0	77.0	34.7754702819866	3003	130519
102.56719827651978	43	88.79412	44.10734	252.0	37.0	88.79411764705883	44.107341933704724	3019	133538
104.38108706474304	44	76.375	38.80315	234.0	13.0	76.375	38.80314903458223	3055	136593
106.09698915481567	45	71.48837	27.077297	159.0	9.0	71.48837209302326	27.077298560785543	3074	139667
108.00891923904419	46	86.97143	42.718002	232.0	35.0	86.97142857142858	42.718002704972534	3044	142711
109.82685160636902	47	79.18421	32.708324	171.0	21.0	79.1842105263158	32.708324437895406	3009	145720
112.15459895133972	48	74.097565	42.200336	215.0	19.0	74.09756097560975	42.20033803936322	3038	148758
