Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.177147626876831	0	22.461884	11.546636	73.0	9.0	22.46188340807175	11.546635021047313	5009	5009
4.153883934020996	1	22.110132	11.824012	75.0	8.0	22.110132158590307	11.824011762830589	5019	10028
6.036826133728027	2	22.348215	12.493006	83.0	9.0	22.348214285714285	12.493005058137657	5006	15034
7.8699259757995605	3	21.826086	12.197476	70.0	8.0	21.82608695652174	12.197477194300554	5020	20054
9.6192467212677	4	18.057762	7.389884	53.0	9.0	18.057761732851986	7.389883760504645	5002	25056
11.390511274337769	5	20.165323	9.289307	66.0	8.0	20.16532258064516	9.28930658507004	5001	30057
13.208649635314941	6	19.873016	10.398782	84.0	8.0	19.873015873015873	10.398782076872644	5008	35065
15.039755821228027	7	19.422482	9.655088	64.0	8.0	19.42248062015504	9.655088551214586	5011	40076
16.83196210861206	8	18.583025	9.451738	71.0	8.0	18.583025830258304	9.451738339269616	5036	45112
18.58527445793152	9	17.109215	8.107323	74.0	8.0	17.109215017064848	8.107323011606143	5013	50125
20.323625564575195	10	16.782608	7.26122	49.0	8.0	16.782608695652176	7.261220026388821	5018	55143
22.07394552230835	11	15.895238	6.5231075	60.0	8.0	15.895238095238096	6.523107365758701	5007	60150
23.77539610862732	12	14.637427	5.471628	48.0	8.0	14.637426900584796	5.471628293860698	5006	65156
25.469865560531616	13	13.411765	4.65683	38.0	8.0	13.411764705882353	4.656829908881325	5016	70172
27.485477209091187	14	12.641414	3.6490903	44.0	8.0	12.641414141414142	3.6490903834334785	5006	75178
